date,symbol,time_point,time_idx,output_name,value
2025-01-02,300214,09:31:00.000,0,output_8,5.589803724207348
2025-01-02,300214,09:40:00.000,1,output_8,5.543414634146341
2025-01-02,300214,09:50:00.000,2,output_8,5.606601220482887
2025-01-02,300214,10:00:00.000,3,output_8,5.617578947368421
2025-01-02,300214,10:10:00.000,4,output_8,5.614994413407821
2025-01-02,300214,10:20:00.000,5,output_8,5.604533221194281
2025-01-02,300214,10:30:00.000,6,output_8,5.659775
2025-01-02,300214,10:40:00.000,7,output_8,5.6749953471059
2025-01-02,300214,10:50:00.000,8,output_8,5.675569350833629
2025-01-02,300214,11:00:00.000,9,output_8,5.695147601476015
2025-01-02,300214,11:10:00.000,10,output_8,5.908311250913481
2025-01-02,300214,11:20:00.000,11,output_8,6.058969507368738
2025-01-02,300214,11:30:05.000,12,output_8,6.102044426633079
2025-01-02,300214,13:10:00.000,13,output_8,5.9600721793085985
2025-01-02,300214,13:20:00.000,14,output_8,5.907754634053124
2025-01-02,300214,13:30:00.000,15,output_8,5.881609938733833
2025-01-02,300214,13:40:00.000,16,output_8,5.884485103626943
2025-01-02,300214,13:50:00.000,17,output_8,5.8963811750950015
2025-01-02,300214,14:00:00.000,18,output_8,5.900045373840994
2025-01-02,300214,14:10:00.000,19,output_8,5.897107043374453
2025-01-02,300214,14:20:00.000,20,output_8,5.8537677902621725
2025-01-02,300214,14:30:00.000,21,output_8,5.870501644736842
2025-01-02,300214,14:40:00.000,22,output_8,5.84152052238806
2025-01-02,300214,14:50:00.000,23,output_8,5.816069910250354
2025-01-02,300214,14:56:00.000,24,output_8,5.850856648852562
2025-01-02,300214,14:57:05.000,25,output_8,5.89540712945591
2025-01-02,300214,15:05:00.000,26,output_8,5.93
2025-01-02,300779,09:31:00.000,0,output_8,97.5547946663328
2025-01-02,300779,09:40:00.000,1,output_8,98.46915282392027
2025-01-02,300779,09:50:00.000,2,output_8,97.29873888439774
2025-01-02,300779,10:00:00.000,3,output_8,98.05173974791408
2025-01-02,300779,10:10:00.000,4,output_8,99.72009701518961
2025-01-02,300779,10:20:00.000,5,output_8,100.09088078199066
2025-01-02,300779,10:30:00.000,6,output_8,100.64904028232054
2025-01-02,300779,10:40:00.000,7,output_8,99.89088985422872
2025-01-02,300779,10:50:00.000,8,output_8,99.52529652351738
2025-01-02,300779,11:00:00.000,9,output_8,99.17828571428572
2025-01-02,300779,11:10:00.000,10,output_8,98.85051170568562
2025-01-02,300779,11:20:00.000,11,output_8,98.61402425267907
2025-01-02,300779,11:30:05.000,12,output_8,98.48937158469946
2025-01-02,300779,13:10:00.000,13,output_8,98.4080578898226
2025-01-02,300779,13:20:00.000,14,output_8,98.08478181818182
2025-01-02,300779,13:30:00.000,15,output_8,97.79023703703704
2025-01-02,300779,13:40:00.000,16,output_8,98.01834956432599
2025-01-02,300779,13:50:00.000,17,output_8,98.10259756097561
2025-01-02,300779,14:00:00.000,18,output_8,97.48738452063233
2025-01-02,300779,14:10:00.000,19,output_8,97.41993091537132
2025-01-02,300779,14:20:00.000,20,output_8,96.98423948220065
2025-01-02,300779,14:30:00.000,21,output_8,96.99021452145215
2025-01-02,300779,14:40:00.000,22,output_8,97.06504430005907
2025-01-02,300779,14:50:00.000,23,output_8,97.07272475795297
2025-01-02,300779,14:56:00.000,24,output_8,97.78372111553784
2025-01-02,300779,14:57:05.000,25,output_8,98.34539047619047
2025-01-02,300779,15:05:00.000,26,output_8,98.12
2025-01-02,300816,09:31:00.000,0,output_8,25.532567804024495
2025-01-02,300816,09:40:00.000,1,output_8,25.11777303070761
2025-01-02,300816,09:50:00.000,2,output_8,25.21890919474586
2025-01-02,300816,10:00:00.000,3,output_8,25.706621196222457
